offered load,lambda_1,lambda_2,Mu_1,Mu_2,beta_1,beta_2
0.3,0.036,0.27,1.2,1,0.0108,0.0081
0.3,0.18,0.15,1.2,1,0.054,0.0045
0.3,0.288,0.06,1.2,1,0.0864,0.0018
0.75,0.09,0.675,1.2,1,0.027,0.02025
0.75,0.45,0.375,1.2,1,0.135,0.01125
0.75,0.72,0.15,1.2,1,0.216,0.0045
1.5,0.18,1.35,1.2,1,0.054,0.0405
1.5,0.9,0.75,1.2,1,0.27,0.0225
1.5,1.44,0.3,1.2,1,0.432,0.009
2.25,0.27,2.025,1.2,1,0.081,0.06075
2.25,1.35,1.125,1.2,1,0.405,0.03375
2.25,2.16,0.45,1.2,1,0.648,0.0135
2.7,0.324,2.43,1.2,1,0.0972,0.0729
2.7,1.62,1.35,1.2,1,0.486,0.0405
2.7,2.592,0.54,1.2,1,0.7776,0.0162
2.85,0.342,2.565,1.2,1,0.1026,0.07695
2.85,1.71,1.425,1.2,1,0.513,0.04275
2.85,2.736,0.57,1.2,1,0.8208,0.0171
